"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"hsa-let-7a(3)",3407.84939244558,0.317471261742362,0.469305113224786,0.676470920082007,0.498741702975955,0.869228402088236,1
"hsa-let-7a-1STAR(2)",45.0869523821653,0.982187872004848,0.607490889953075,1.61679440506625,0.105922667537884,0.760324285233523,1
"hsa-let-7b(1)",1622.30864963176,1.03010478235509,0.545052721865907,1.88991769241823,0.058768968932582,0.760324285233523,1
"hsa-let-7bSTAR(1)",17.4003685074692,1.1822688608991,0.745925152223643,1.58496982890936,0.112973189446311,0.760324285233523,1
"hsa-let-7c(1)",94.6696655350813,0.70196464264033,0.629006228647143,1.11598997064004,0.264426427680267,0.77193106985349,1
"hsa-let-7d(1)",1010.74932086194,0.311374886169606,0.448369640102305,0.694460236198327,0.487393629381383,0.869228402088236,1
"hsa-let-7dSTAR(1)",383.399864603388,0.302573486622371,0.484199425640542,0.624894352615351,0.532040399082669,0.869228402088236,1
"hsa-let-7e(1)",120.365066762141,0.135119632425595,0.464897004882606,0.290644230886613,0.771323428270802,0.901505107380754,1
"hsa-let-7f(2)",3362.34221627627,0.366538211798341,0.554845369821999,0.660613265847258,0.50886035937732,0.869228402088236,1
"hsa-let-7g(1)",1491.84666974575,0.531038218337189,0.559475664974049,0.949171253698443,0.342533519387399,0.821474192513143,1
"hsa-let-7i(1)",3050.80703009241,0.581395936549687,0.521572143915509,1.11469897948359,0.264979438493968,0.77193106985349,1
"hsa-let-7iSTAR(1)",103.1644116808,1.42947247088108,0.782444585643399,1.82693125763742,0.0677101058045713,0.760324285233523,1
"hsa-miR-1(2)",175.045223776627,1.36874628407633,0.756244025503938,1.80992674046481,0.0703071487011728,0.760324285233523,1
"hsa-miR-100(1)",160.602947709367,2.36556312337434,0.869716923623042,2.71992306820931,0.00652971060177647,0.632488033662312,1
"hsa-miR-101(2)",1987.20877290372,1.48143486213279,0.626310405711807,2.36533649867932,0.0180136953301789,0.743161287861409,1
"hsa-miR-101-1STAR(1)",16.8065751003439,0.612697126319592,0.746018842566355,0.821289076575964,0.41148162824526,0.869058537647469,1
"hsa-miR-103(2)",4145.2335998878,0.315992936410315,0.555479820670489,0.568864834781752,0.56944787131847,0.894320174153876,1
"hsa-miR-106a(1)",45.2637644636557,0.575743727449165,0.726126924030843,0.792896817891179,0.427837941456515,0.869058537647469,1
"hsa-miR-106b(1)",1384.73376144211,0.76831791928267,0.584196007777487,1.31517146480623,0.188452282953803,0.77193106985349,1
"hsa-miR-106bSTAR(1)",97.7662992568512,0.449823268516134,0.507263635951368,0.886764271348753,0.375205827220237,0.852441775550896,1
"hsa-miR-107(1)",738.838273580515,1.24156850717494,0.660881638917231,1.87865486656444,0.060291634240897,0.760324285233523,1
"hsa-miR-10a(1)",182.186014847252,0.618884468096921,0.536825960531349,1.15285867971875,0.248968394445071,0.77193106985349,1
"hsa-miR-10b(1)",103.720956166726,1.4753645963539,0.77400701143948,1.90613854209156,0.0566322333340028,0.760324285233523,1
"hsa-miR-1185-1-3p(1)",34.5530386892959,-0.807358572785804,0.674375294135307,-1.19719476648534,0.231230649267453,0.77193106985349,1
"hsa-miR-1197(1)",13.3133022718055,-0.737856457975491,0.660295320429342,-1.11746431505181,0.263795849202146,0.77193106985349,1
"hsa-miR-122(1)",100.138375226496,0.55702641967557,0.730513009472204,0.762514031171083,0.445753272077484,0.869058537647469,1
